Number,Net,Center X,Center Y,Layer
TP4,5V,103.508 mm,41.526 mm,Multi-Layer
TP5,GND,103.505 mm,44.069 mm,Multi-Layer
TP7,LS_GND2,103.508 mm,49.146 mm,Multi-Layer
TP13,PCA9685_OE,127.508 mm,49.149 mm,Multi-Layer
TP1,LED_WRG,130.556 mm,24.511 mm,Multi-Layer
TP2,LED_L1,128.778 mm,24.511 mm,Multi-Layer
TP3,LED_L3,127 mm,24.511 mm,Multi-Layer
TP4,LED_L5,125.222 mm,24.511 mm,Multi-Layer
TP8,GND,131.572 mm,30.988 mm,Multi-Layer
TP9,LED_VEN,129.794 mm,30.988 mm,Multi-Layer
TP10,LED_L2,128.016 mm,30.988 mm,Multi-Layer
TP11,LED_L4,126.111 mm,30.988 mm,Multi-Layer
TP12,LED_PWR,124.206 mm,30.988 mm,Multi-Layer
TP13,BTN_MOD,122.428 mm,30.988 mm,Multi-Layer
TP14,BTN_PWR,120.777 mm,30.988 mm,Multi-Layer
TP6,LED_MST,123.571 mm,24.511 mm,Multi-Layer
TP1,BTN_MOD,103.508 mm,51.686 mm,Multi-Layer
TP7,BTN_LVL,121.92 mm,24.511 mm,Multi-Layer
TP26,FAN_TACHO,103.508 mm,56.766 mm,Multi-Layer
TP6,FAN_PWM,103.54 mm,54.226 mm,Multi-Layer
TP20,SCL,127.511 mm,54.226 mm,Multi-Layer
TP1,NTC_OUT_SIG,127.511 mm,41.399 mm,Multi-Layer
TP3,NTC_IN_SIG,127.511 mm,44.056 mm,Multi-Layer
TP10,GND,71.12 mm,31.369 mm,Multi-Layer
TP7,5V,75.946 mm,31.369 mm,Multi-Layer
TP9,12V,62.23 mm,22.352 mm,Multi-Layer
TP1,3V,87.757 mm,31.369 mm,Multi-Layer
TP1,SDA,127.511 mm,51.686 mm,Multi-Layer
TP3,BTN_PWR,127.511 mm,56.766 mm,Multi-Layer
TP5,BTN_LVL,127.508 mm,46.609 mm,Multi-Layer
TP9,PWM_12V_OUT,73.66 mm,46.863 mm,Multi-Layer
TP9,DC_VAR_12V,77.47 mm,46.863 mm,Multi-Layer